id;name;title;theme;organization_id;organization_name;organization_uf;organization_municipio;organization_title;maintainer;periodicity;created_date;update_date;count_files;count_downloads;count_followers;description;url
837d70c3-5b2c-4972-87b5-47667330e230;dados-acadmicos;Dados Acadêmicos;Educação;8a92c97c-0b00-42dd-a09a-0cd79cc832a4;centro-federal-de-educacao-tecnologica-de-minas-gerais-cefet-mg;;;Centro Federal de Educação Tecnológica de Minas Gerais - CEFET-MG;DGDI;semanal;14/02/2023 18:14:20;14/02/2023 16:08:59;7;120;1;Metadados do Conjunto de Dados Acadêmicos;https://dados.gov.br/dados/conjuntos-dados/dados-acadmicos
a9515b46-2b10-4f84-801d-83bf8b6d6b1a;12-alunos;1.2. ALUNOS;Educação;8a92c97c-0b00-42dd-a09a-0cd79cc832a4;centro-federal-de-educacao-tecnologica-de-minas-gerais-cefet-mg;;;Centro Federal de Educação Tecnológica de Minas Gerais - CEFET-MG;DGDI;semanal;17/02/2023 16:52:50;17/02/2023 14:03:42;1;46;0;Relação de todos os alunos ingressantes e formandos, por ciclo acadêmico.;https://dados.gov.br/dados/conjuntos-dados/12-alunos
509ece85-78ab-49aa-b4d0-ffbf3975efdd;car;CAR;Ciência, Informação e Comunicação;2b6b462e-a88e-4c68-bcca-3b556a99d593;instituto-nacional-de-tecnologia-da-informacao-iti;;;Instituto Nacional de Tecnologia da Informação - ITI;Instituto Nacional de Tecnologia da Informação;semanal;04/08/2022 14:12:21;24/03/2023 09:48:58;1;98;0;"Lista contendo o CPF e Nome dos Agente de Registro habilitados para atuarem na ICP-Brasil.
A data de geração do arquivo CSV está no cabeçalho.";https://dados.gov.br/dados/conjuntos-dados/car
bbf16d6f-0e01-479f-bd09-1b29a28fdb1c;aerodromos-publicos---patios-de-estacionamento;Aeródromos Públicos - Pátios de Estacionamento;;d5bc559a-beda-4f1e-92ea-380bd5ef12a2;agencia-nacional-de-aviacao-civil-anac;;;Agência Nacional de Aviação Civil - ANAC;Gerência Técnica do Cadastro Aeroportuário - GTCA;semanal;30/06/2023 17:54:45;30/06/2023 14:56:49;0;220;0;​Dados referentes aos pátios de estacionamento de aeronaves em aeródromos públicos.​;https://dados.gov.br/dados/conjuntos-dados/aerodromos-publicos---patios-de-estacionamento
c4210e54-cda5-43b5-a1a0-63bc1b0157cb;aerodromos-publicos---pistas-de-pouso-e-decolagem;Aeródromos Públicos - Pistas de Pouso e Decolagem;;d5bc559a-beda-4f1e-92ea-380bd5ef12a2;agencia-nacional-de-aviacao-civil-anac;;;Agência Nacional de Aviação Civil - ANAC;Gerência Técnica do Cadastro Aeroportuário - GTCA;semanal;30/06/2023 18:30:45;04/08/2023 16:38:28;3;0;0;​Dados referentes às pistas de pouso e decolagem em aeródromos públicos.​;https://dados.gov.br/dados/conjuntos-dados/aerodromos-publicos---pistas-de-pouso-e-decolagem
4d9be4fe-e6cb-411d-ae55-319f4d550c93;instituicoes-usuarias-do-sistema-invesalius;Instituições Usuárias do Sistema InVesalius;Saúde;87d5f0df-35cd-41aa-ab31-01975f7e7637;centro-de-tecnologia-da-informacao-renato-archer;SP;Campinas;Centro de Tecnologia da Informação Renato Archer;DITPS;semanal;14/08/2023 12:15:10;14/08/2023 09:15:10;1;10;0;Lista de instituições usuárias do InVesalius (software de código aberto para tratamento de imagens médicas para diversas aplicações) e respectivos países.;https://dados.gov.br/dados/conjuntos-dados/instituicoes-usuarias-do-sistema-invesalius
5d890b3c-918d-4564-96fb-7c492853c964;cursos-ifsp;Cursos IFSP;Educação;50f90714-63b9-4af3-a03d-8578c75abf29;instituto-federal-de-educacao-ciencia-e-tecnologia-de-sao-paulo;SP;São Paulo;Instituto Federal de Educação, Ciência e Tecnologia de São Paulo;Diretoria de Dados e Gestão Acadêmica (DDGA);semanal;11/07/2018 17:22:25;12/03/2024 08:26:35;13;57;0;"Os conjuntos de dados apresentam a relação dos cursos ofertados pelo IFSP em cada ano, com as seguintes informações: Campus ofertante; Tipo de curso; Forma de oferta; Modalidade; Turno.

Para interpretar o conjunto de dados baixe o arquivo de dicionário de dados [clicando aqui](https://docs.google.com/spreadsheets/d/e/2PACX-1vQiK3_8yuF2D9N5UPpvK1TxomRTUR0BvmyWn0HH8SAMlNjb8EegvEZvL-fRS0FdIC_LKzkbj9aAQMMn/pub?output=csv).

Para abrir os arquivos no formato Comma-Separated Values(CSV) veja o tópico Formas de abrir arquivos .CSV em https://dados.ifsp.edu.br/organization/about/ifsp .

";https://dados.gov.br/dados/conjuntos-dados/cursos-ifsp
06351e86-fce9-42ec-b876-539bd37ef9f9;registro-de--entrada-de--documentos--no-arquivo--nacional;Registro de  Entrada de  Documentos  no Arquivo  Nacional;Ciência, Informação e Comunicação;a84ac121-a2a6-47be-abb8-67f88c8e7a96;arquivo-nacional-an;;;Arquivo Nacional - AN;COGED;semanal;05/12/2023 13:44:18;09/04/2024 14:37:16;5;122;0;Registro de entrada de documentos no Arquivo Nacional.;https://dados.gov.br/dados/conjuntos-dados/registro-de--entrada-de--documentos--no-arquivo--nacional
da3a696f-aa67-4882-8142-32f4c006b18d;acordos-de-cooperacao-tecnica;Acordos de Cooperação Técnica;Economia e Finanças;a84ac121-a2a6-47be-abb8-67f88c8e7a96;arquivo-nacional-an;;;Arquivo Nacional - AN;Coordenação Geral de Administração (COAD);semanal;07/03/2023 13:58:40;09/04/2024 14:44:37;12;96;0;Dados referentes aos acordos de cooperação técnica firmados com o Arquivo Nacional.;https://dados.gov.br/dados/conjuntos-dados/acordos-de-cooperacao-tecnica
e37a1ff4-a387-4512-bde4-b65375fdebc2;valor-comercial-da-mensalidade-por-faixa-etaria;Valor Comercial da Mensalidade por Faixa Etária;Economia e Finanças;3d6aab5a-3179-4c4a-b84a-59e0d54d1c1a;agencia-nacional-de-saude-suplementar;;;Agência Nacional de Saúde Suplementar;Diretoria de Desenvolvimento Setorial;semanal;07/01/2021 18:41:28;11/04/2024 13:51:32;2;1143;3;Valor Comercial da Mensalidade por faixa etária informado nas Notas Técnicas homologadas junto à ANS em conformidade com o do Anexo II-B da IN/DIPRO Nº 8, de 27 de dezembro de 2002.;https://dados.gov.br/dados/conjuntos-dados/valor-comercial-da-mensalidade-por-faixa-etaria
